iter	Passed	Remaining
0	12	12167
1	25	12784
2	35	11826
3	45	11392
4	53	10648
5	63	10438
6	72	10225
7	83	10328
8	91	10114
9	104	10325
10	115	10362
11	127	10532
12	140	10676
13	156	11023
14	171	11239
15	191	11784
16	216	12505
17	232	12698
18	250	12926
19	263	12917
20	271	12663
21	285	12689
22	296	12574
23	303	12351
24	315	12316
25	325	12211
26	338	12198
27	351	12206
28	365	12236
29	377	12198
30	389	12168
31	413	12504
32	426	12490
33	435	12384
34	446	12310
35	456	12233
36	469	12217
37	482	12206
38	495	12214
39	508	12214
40	520	12175
41	533	12158
42	547	12173
43	555	12075
44	564	11988
45	573	11894
46	581	11792
47	592	11745
48	600	11650
49	609	11583
50	618	11508
51	629	11471
52	638	11415
53	650	11394
54	665	11437
55	677	11423
56	691	11433
57	698	11349
58	711	11342
59	723	11334
60	732	11268
61	741	11223
62	749	11140
63	759	11105
64	767	11046
65	776	10993
66	785	10942
67	794	10890
68	804	10851
69	815	10839
70	829	10854
71	848	10933
72	869	11043
73	884	11066
74	906	11185
75	922	11217
76	930	11150
77	938	11087
78	945	11024
79	954	10972
80	962	10920
81	971	10879
82	985	10887
83	996	10869
84	1014	10917
85	1026	10908
86	1036	10875
87	1043	10819
88	1053	10779
89	1060	10718
90	1068	10676
91	1076	10623
92	1085	10588
93	1092	10533
94	1103	10514
95	1114	10495
96	1122	10448
97	1130	10405
98	1141	10393
99	1152	10369
100	1162	10343
101	1171	10318
102	1181	10292
103	1191	10265
104	1200	10231
105	1208	10191
106	1218	10168
107	1226	10131
108	1240	10140
109	1256	10168
110	1265	10138
111	1275	10111
112	1284	10085
113	1293	10056
114	1302	10027
115	1312	9999
116	1320	9967
117	1329	9937
118	1336	9898
119	1344	9860
120	1352	9826
121	1361	9799
122	1372	9787
123	1385	9787
124	1397	9781
125	1413	9802
126	1422	9776
127	1432	9760
128	1441	9732
129	1451	9715
130	1461	9692
131	1468	9656
132	1480	9652
133	1494	9661
134	1504	9638
135	1518	9646
136	1526	9617
137	1535	9590
138	1544	9567
139	1553	9545
140	1562	9520
141	1570	9486
142	1581	9475
143	1589	9446
144	1599	9432
145	1609	9412
146	1617	9387
147	1628	9376
148	1640	9366
149	1649	9347
150	1659	9332
151	1669	9311
152	1678	9292
153	1686	9266
154	1695	9241
155	1703	9214
156	1712	9197
157	1720	9169
158	1728	9143
159	1735	9113
160	1744	9092
161	1752	9063
162	1761	9043
163	1769	9021
164	1780	9008
165	1789	8988
166	1797	8967
167	1807	8953
168	1815	8924
169	1825	8913
170	1832	8884
171	1840	8858
172	1849	8843
173	1858	8823
174	1869	8814
175	1885	8825
176	1895	8813
177	1906	8803
178	1913	8777
179	1921	8752
180	1929	8731
181	1938	8712
182	1945	8687
183	1956	8676
184	1964	8655
185	1976	8650
186	1985	8634
187	1995	8618
188	2005	8607
189	2016	8595
190	2029	8595
191	2045	8606
192	2059	8612
193	2067	8590
194	2078	8579
195	2087	8562
196	2095	8541
197	2104	8525
198	2112	8501
199	2121	8485
200	2131	8472
201	2145	8474
202	2158	8474
203	2169	8466
204	2179	8452
205	2189	8438
206	2199	8426
207	2207	8405
208	2215	8383
209	2222	8362
210	2231	8342
211	2247	8352
212	2255	8333
213	2264	8318
214	2276	8312
215	2287	8303
216	2298	8292
217	2306	8275
218	2317	8264
219	2328	8255
220	2337	8240
221	2346	8222
222	2354	8204
223	2364	8190
224	2375	8183
225	2387	8178
226	2400	8172
227	2414	8175
228	2421	8153
229	2430	8136
230	2438	8117
231	2447	8101
232	2457	8090
233	2468	8079
234	2478	8069
235	2488	8054
236	2498	8044
237	2506	8025
238	2516	8013
239	2530	8012
240	2538	7994
241	2549	7985
242	2557	7966
243	2566	7952
244	2575	7937
245	2583	7919
246	2591	7899
247	2599	7883
248	2609	7869
249	2618	7856
250	2630	7849
251	2639	7836
252	2647	7818
253	2657	7804
254	2665	7787
255	2674	7772
256	2684	7759
257	2693	7747
258	2702	7731
259	2712	7720
260	2727	7722
261	2737	7710
262	2748	7702
263	2758	7690
264	2780	7711
265	2794	7711
266	2817	7734
267	2836	7746
268	2854	7757
269	2868	7756
270	2886	7764
271	2911	7792
272	2923	7785
273	2936	7779
274	2950	7777
275	2963	7772
276	2979	7777
277	2992	7771
278	3001	7756
279	3011	7744
280	3022	7733
281	3031	7717
282	3040	7703
283	3054	7701
284	3070	7703
285	3080	7691
286	3091	7681
287	3103	7671
288	3116	7667
289	3130	7665
290	3140	7652
291	3149	7636
292	3159	7623
293	3169	7611
294	3178	7597
295	3189	7586
296	3197	7568
297	3207	7555
298	3215	7539
299	3225	7526
300	3234	7511
301	3244	7499
302	3256	7491
303	3267	7480
304	3275	7463
305	3285	7451
306	3294	7435
307	3304	7424
308	3313	7409
309	3323	7396
310	3331	7380
311	3345	7377
312	3355	7364
313	3367	7356
314	3377	7345
315	3388	7335
316	3400	7326
317	3411	7315
318	3422	7307
319	3435	7301
320	3449	7295
321	3470	7306
322	3478	7291
323	3488	7279
324	3498	7265
325	3507	7251
326	3516	7238
327	3531	7234
328	3539	7218
329	3548	7203
330	3555	7186
331	3564	7172
332	3573	7156
333	3581	7141
334	3588	7123
335	3597	7110
336	3606	7095
337	3616	7083
338	3625	7068
339	3634	7056
340	3644	7042
341	3653	7030
342	3664	7018
343	3676	7011
344	3685	6996
345	3693	6981
346	3702	6967
347	3711	6953
348	3720	6939
349	3729	6925
350	3736	6908
351	3744	6893
352	3753	6880
353	3766	6873
354	3775	6860
355	3784	6846
356	3792	6830
357	3800	6815
358	3807	6798
359	3816	6784
360	3823	6767
361	3832	6754
362	3839	6737
363	3847	6723
364	3856	6709
365	3868	6700
366	3880	6692
367	3889	6680
368	3899	6668
369	3907	6652
370	3915	6637
371	3922	6621
372	3931	6608
373	3939	6594
374	3950	6583
375	3960	6573
376	3969	6558
377	3979	6547
378	3987	6532
379	3995	6519
380	4003	6505
381	4013	6493
382	4022	6480
383	4034	6471
384	4042	6457
385	4050	6442
386	4061	6433
387	4068	6417
388	4077	6404
